,2022_05_09T11_13_38_coda,2022_05_09T11_13_38_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2018_11_18T12_48_44_coda,2018_11_18T12_48_44_envelope,2023_06_16T16_38_28_coda,2023_06_16T16_38_28_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
OGSM,2.3886092382747296e-10,1.5273913334186014e-10,3.2642661037422667e-10,4.2767879488637514e-10,1.898359282815219e-10,2.2293074176420583e-10,6.107819975229069e-09,1.7764797540868596e-08,2.70227556758832e-10,7.710255420343223e-10
FILF,1.916010337543205e-10,1.0937620625496468e-10,5.928806630955856e-10,7.481655604394613e-10,0.0,0.0,8.628367491098375e-09,1.9487907124103498e-08,0.0,0.0
ATE,1.6442739704551107e-10,9.282362010616463e-11,0.0,0.0,0.0,0.0,5.9677907787195714e-09,1.6009851776910052e-08,0.0,0.0
TG23,7.395793693472472e-10,5.881715760526644e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAME,1.567142131774478e-09,1.348755164889558e-09,2.705933651760882e-09,3.435986506015834e-09,0.0,0.0,7.151402016062655e-09,2.6947371957071982e-08,0.0,0.0
JAUN,2.1793635510079464e-10,1.1525520478431716e-10,0.0,0.0,3.043868139581406e-10,3.2714710973954176e-10,6.749050297602013e-09,1.9987535785331753e-08,0.0,0.0
VALM,9.82825865162087e-10,6.7080967906067e-10,4.1535336108546906e-09,5.1892596807161214e-09,0.0,0.0,7.394869007536686e-09,2.462067845344948e-08,0.0,0.0
VDR,1.5826845689629822e-10,1.3772871713867368e-10,2.494825548661778e-10,3.0825957114777077e-10,0.0,0.0,3.3783171396252707e-09,1.180969104417448e-08,0.0,0.0
PIAF,9.840278102156058e-11,7.135307696572479e-11,1.4317490952417946e-10,1.8530254699520584e-10,2.761439694187665e-10,3.273815338562722e-10,2.3446053402008723e-09,7.89489170941795e-09,0.0,0.0
PERON,2.3644220631803456e-10,1.5803706526564568e-10,0.0,0.0,0.0,0.0,5.738841167551049e-09,2.023862255590664e-08,0.0,0.0
GENF,1.3156717768940684e-10,7.215688678430175e-11,3.1631039793821783e-10,4.12226657346509e-10,0.0,0.0,4.8400327701482606e-09,1.1311567192117485e-08,0.0,0.0
RORO,2.329446066805872e-10,2.1997265622188608e-10,5.522430001933282e-10,7.75744432912851e-10,4.801098623907025e-10,6.700635510475746e-10,3.3208951576928782e-09,1.0887366921046497e-08,3.398186263064219e-10,5.634332010845938e-10
CAVN,2.2299735405485357e-10,1.4325549062514656e-10,0.0,0.0,0.0,0.0,4.768622342204227e-09,1.3813761503227836e-08,0.0,0.0
CRAS,6.657368319425484e-10,4.3626611817394086e-10,6.32696249322713e-10,8.575668185577391e-10,0.0,0.0,5.557733855040997e-09,1.9008097661665923e-08,0.0,0.0
MLS,3.3808468337830597e-10,1.5009349849548598e-10,1.0222441016887383e-09,1.3861858574649939e-09,0.0,0.0,1.3767510502344624e-08,3.693545146164784e-08,0.0,0.0
LKBD2,3.027363948779823e-10,1.9784676721424792e-10,0.0,0.0,3.3126148391575456e-10,3.5475657735880924e-10,6.227716029248266e-09,2.1942723481769425e-08,0.0,0.0
CCAS,1.0313055798121276e-10,7.262762682533287e-11,2.264152509519692e-10,2.9687196409823013e-10,0.0,0.0,2.075513272126344e-09,4.6488270796162955e-09,0.0,0.0
BOUC,2.350144744343702e-10,1.6457618941060352e-10,0.0,0.0,2.9440715689922557e-10,3.059673311753145e-10,6.867257405382751e-09,2.2825782269614838e-08,0.0,0.0
OGSA,1.5590220437809987e-10,5.5705897803409e-11,1.880876464351181e-10,2.3700423822874955e-10,1.7415473486797268e-10,2.02688771224204e-10,3.269529944931612e-09,9.269792257760266e-09,0.0,0.0
TRBF,3.3156721904564336e-10,1.824928051009326e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.232175393474497e-10,1.4423212648802993e-09
WALT,1.1614291404680487e-09,8.705058854442047e-10,0.0,0.0,1.3836321671221303e-09,1.3906393938867522e-09,3.974212741998231e-08,1.2893434810930576e-07,0.0,0.0
