time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-09T19:08:07.123Z,43.2824,12.3414,10,4.5,mwr,110,32,0.135,0.79,us,us7000jiky,2023-05-15T02:49:42.040Z,"2 km S of Umbertide, Italy",earthquake,4.85,1.845,0.043,53,reviewed,us,us
2023-02-27T21:50:10.517Z,39.7821,13.8609,414.804,4.5,mb,135,63,1.359,0.53,us,us7000jg46,2023-05-08T01:59:47.040Z,"90 km SSW of Anacapri, Italy",earthquake,8.88,6.154,0.05,117,reviewed,us,us
2023-02-16T09:47:45.811Z,44.9646,14.7077,10,4.7,mwr,127,14,0.999,0.7,us,us6000jpbt,2023-04-22T21:33:13.040Z,"3 km W of Baška, Croatia",earthquake,3.95,1.527,0.047,44,reviewed,us,us
2023-01-15T21:37:21.763Z,41.4466,19.996,17.416,4.7,mwr,105,37,0.141,0.79,us,us7000j4kh,2023-03-31T19:44:29.040Z,"10 km SW of Klos, Albania",earthquake,3.5,2.248,0.047,43,reviewed,us,us
2022-12-02T20:05:04.968Z,43.0662,18.2361,10,4.5,mb,118,27,0.987,0.68,us,us6000j6ey,2023-02-05T23:26:09.040Z,"17 km NE of Ljubinje, Bosnia and Herzegovina",earthquake,3.03,1.807,0.064,83,reviewed,us,us
2022-11-20T05:20:30.071Z,43.899,13.3081,10,4.5,mwr,94,20,0.853,0.45,us,us7000ir3c,2023-01-30T06:00:20.040Z,"19 km NE of Marotta, Italy",earthquake,3.96,1.429,0.062,25,reviewed,us,us
2022-11-09T06:07:26.657Z,43.9315,13.3152,8,5.6,mww,147,14,0.881,0.88,us,us7000infp,2023-02-16T07:51:15.850Z,"central Italy",earthquake,4.38,0.527,0.032,92,reviewed,us,us
2022-11-08T15:23:23.651Z,43.6743,8.9959,10,4.5,mb,24,48,0.744,0.45,us,us7000inal,2023-01-21T19:27:15.040Z,"Ligurian Sea",earthquake,3.74,1.851,0.544,3,reviewed,us,us
2022-10-31T21:42:50.853Z,39.8773,15.6395,271.217,5.5,mww,127,40,0.178,0.6,us,us7000ilkv,2023-01-12T23:10:50.040Z,"12 km WSW of Tortora Marina, Italy",earthquake,5.49,4.096,0.036,75,reviewed,us,us
2022-09-22T15:47:58.549Z,44.1339,10.6606,22.516,4.5,mb,72,94,0.314,0.79,us,us7000ia8f,2022-11-26T20:57:53.040Z,"1 km SSW of Abetone, Italy",earthquake,4.01,4.649,0.097,36,reviewed,us,us
2022-09-18T13:54:38.197Z,40.2026,19.8373,3.324,4.5,mb,40,80,0.346,1.1,us,us7000i93a,2022-11-26T20:57:39.040Z,"Albania",earthquake,2.83,5.238,0.156,13,reviewed,us,us
2022-06-06T04:16:26.960Z,41.814,19.1703,6.19,4.5,mb,99,24,0.619,0.75,us,us7000hf9k,2022-08-13T21:51:36.040Z,"13 km SSW of Ulcinj, Montenegro",earthquake,5,5,0.079,47,reviewed,us,us
2022-04-24T04:27:53.134Z,43.0513,18.1424,10,4.8,mww,121,19,1.031,0.9,us,us6000hfzd,2022-07-05T03:39:56.040Z,"12 km NNE of Ljubinje, Bosnia and Herzegovina",earthquake,4.8,1.8,0.098,10,reviewed,us,us
2022-04-22T21:07:48.316Z,43.0742,18.1803,10,5.7,mww,,16,1.023,0.9,us,us6000hfqj,2024-05-23T17:54:15.977Z,"15 km NNE of Ljubinje, Bosnia and Herzegovina",earthquake,4.7,1.8,0.039,63,reviewed,us,us
2022-04-07T16:58:46.082Z,51.4991,16.0769,3.03,4.7,mb,,31,1.16,0.64,us,us7000h0gw,2022-06-11T20:21:13.040Z,"0 km SSE of Polkowice, Poland",earthquake,3.4,3.5,0.05,124,reviewed,us,us
2022-03-12T17:03:22.558Z,45.7171,6.2859,2.69,4.5,mb,,62,0.72,0.72,us,us6000h41e,2022-05-27T14:55:19.040Z,"3 km S of Faverges, France",earthquake,2.6,5.5,0.135,16,reviewed,us,us
2022-02-09T20:00:56.574Z,44.7809,10.7829,10,4.6,mb,,39,0.451,0.84,us,us7000gjgg,2022-04-19T17:39:21.040Z,"1 km N of Correggio, Italy",earthquake,4.3,1.8,0.097,32,reviewed,us,us
2022-01-11T17:44:09.173Z,40.8703,21.4565,10,4.5,mb,,41,1.098,0.72,us,us7000gb0u,2022-03-19T22:07:46.040Z,"10 km NNW of Ammochóri, Greece",earthquake,4.2,1.8,0.085,45,reviewed,us,us
2022-01-11T15:14:30.550Z,40.8528,21.4046,10,4.7,mb,,41,1.115,0.62,us,us7000gayq,2022-03-19T22:07:45.040Z,"7 km N of Flórina, Greece",earthquake,5.3,1.8,0.078,53,reviewed,us,us
2022-01-09T21:53:20.907Z,40.9153,21.4015,10,4.6,mb,,33,1.16,0.72,us,us7000gaf0,2022-03-19T22:07:33.040Z,"7 km SSE of Bistrica, North Macedonia",earthquake,4.3,1.5,0.095,33,reviewed,us,us
2022-01-09T21:43:47.201Z,40.8272,21.3919,13.45,5.5,mww,,19,1.106,0.76,us,us7000gaex,2022-03-19T22:07:33.040Z,"5 km NNW of Flórina, Greece",earthquake,5.5,3,0.033,88,reviewed,us,us
2021-12-18T10:34:47.765Z,45.6559,9.5873,37.73,4.5,mb,,56,0.658,0.53,us,us6000gdds,2023-09-17T11:28:49.379Z,"1 km WNW of Dalmine, Italy",earthquake,4.4,7.5,0.172,10,reviewed,us,us
2021-11-12T15:08:26.857Z,41.4333,20.1996,10,4.6,mb,,30,0.267,1.11,us,us7000ftj6,2022-01-22T20:51:47.040Z,"6 km SSW of Bulqizë, Albania",earthquake,5.3,1.9,0.111,24,reviewed,us,us
2021-10-29T06:10:34.525Z,41.5207,20.3353,10,4.7,mb,,41,0.395,0.47,us,us7000fpni,2022-01-14T17:58:41.040Z,"9 km ENE of Bulqizë, Albania",earthquake,3.5,1.9,0.086,41,reviewed,us,us
2021-10-06T19:57:33.511Z,43.6811,16.8584,10,4.9,mb,,16,1.092,1.16,us,us6000fsew,2021-12-10T21:14:15.040Z,"10 km E of Otok, Croatia",earthquake,4.2,1.8,0.059,89,reviewed,us,us
2021-08-16T23:58:56.595Z,45.4755,16.2341,10,4.6,mb,,21,1.064,0.69,us,us6000f7dp,2021-10-29T14:46:23.040Z,"6 km NW of Petrinja, Croatia",earthquake,4.3,1.9,0.066,69,reviewed,us,us
