,2012_01_27T14_53_13_coda,2012_01_27T14_53_13_envelope,2022_03_12T17_03_22_coda,2022_03_12T17_03_22_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
PF01,1.7355530623811383e-09,5.70249284850722e-10,0.0,0.0,0.0,0.0,0.0,0.0
NRCA,3.508366909858499e-09,9.861811360362046e-10,2.9503491983884827e-10,2.064365791356526e-10,0.0,0.0,0.0,0.0
MOA,7.59739381967592e-09,2.3584298151061647e-09,7.539285884408027e-10,1.74063462237257e-10,5.744032969264417e-10,7.669833389525857e-10,0.0,0.0
SMPL,1.4052363711798703e-09,4.345505745830254e-10,9.273523417865023e-10,4.6166649496306837e-10,1.0977085136599552e-10,1.2940355044830334e-10,2.6720700670026675e-10,3.206643986262448e-10
UBBA,4.8468652615837285e-09,1.5643290078775431e-09,0.0,0.0,0.0,0.0,0.0,0.0
ROSI,9.141878229188305e-09,2.6657869343032404e-09,6.855547915197226e-10,3.0036285866478393e-10,8.555096763724893e-10,1.1252679947641996e-09,0.0,0.0
CLL,1.1023771508903693e-08,2.86178118739549e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY05,1.810295620676878e-09,6.04877055976395e-10,0.0,0.0,0.0,0.0,0.0,0.0
WBB,0.6440458065474639,0.1867399576307055,0.0,0.0,0.0,0.0,0.0,0.0
NARO,1.5267247216025624e-09,4.0914210508707287e-10,1.2481990376425659e-10,7.817879202746199e-11,2.2589931962167926e-10,2.1297499286640107e-10,0.0,0.0
TRI,4.257835816461947e-09,1.2211118735753023e-09,0.0,0.0,0.0,0.0,0.0,0.0
VAGA,3.773102381892426e-09,1.104410859112434e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRC1,1.4402275626225185e-08,4.078798991252647e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRA2,1.1403463729524546e-08,3.992486263089407e-09,0.0,0.0,0.0,0.0,0.0,0.0
INTR,4.365001710647534e-09,1.3057729558350971e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRB5,1.3122649325978633e-08,4.177003738113132e-09,0.0,0.0,0.0,0.0,0.0,0.0
FIAM,3.598014482373824e-09,1.121170292726045e-09,5.32455259298523e-10,3.151116175786072e-10,0.0,0.0,0.0,0.0
FIESA,3.6983243888645755e-09,1.4180756592418942e-09,0.0,0.0,0.0,0.0,3.754897940820216e-10,1.0943671846670894e-09
GEC7,1.0930935774622448e-10,3.510654263965503e-11,0.0,0.0,0.0,0.0,0.0,0.0
ABSI,9.14697695959623e-09,3.010723647002006e-09,8.261410898162991e-10,2.1529246168657907e-10,7.442460726253671e-10,9.75242373094249e-10,0.0,0.0
GRA3,1.3997579389035333e-08,4.15615977724061e-09,0.0,0.0,0.0,0.0,0.0,0.0
CADS,5.880653622934418e-09,1.9237901038699046e-09,5.198420564554577e-10,1.7661912729382228e-10,4.830923038698204e-10,6.214205033961777e-10,0.0,0.0
MUO,6.9364078096250705e-09,1.9964761608831166e-09,0.0,0.0,0.0,0.0,4.1245722752806675e-10,1.118767483565612e-09
CERA,6.710881677400571e-09,2.429319425821977e-09,0.0,0.0,0.0,0.0,0.0,0.0
JAVS,5.664985301873922e-09,1.6140663412884403e-09,4.3541456606018567e-10,2.0748855120774072e-10,3.0416716684971304e-10,3.9156388614362365e-10,0.0,0.0
GED2,1.1828245946193843e-10,3.477746455357931e-11,0.0,0.0,0.0,0.0,0.0,0.0
PE03,1.8548719748327038e-09,6.809479732775103e-10,0.0,0.0,0.0,0.0,0.0,0.0
VISS,4.078352169833568e-09,1.1141194769025331e-09,3.1797093712881147e-10,1.0715478978454667e-10,2.843357281082568e-10,3.7672159058353856e-10,0.0,0.0
PE07,2.882025595272538e-09,9.99475216677316e-10,0.0,0.0,0.0,0.0,0.0,0.0
MLFH,6.964542210174068e-09,2.3139155225082363e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRB4,1.6891532317043515e-08,5.045499504948196e-09,0.0,0.0,0.0,0.0,0.0,0.0
LAV9,3.4662875584332886e-08,1.3729928806205626e-08,0.0,0.0,0.0,0.0,0.0,0.0
CIGN,8.262771346976559e-09,1.8318362335258314e-09,0.0,0.0,0.0,0.0,0.0,0.0
GEB1,1.1486285824588372e-10,3.695049141078359e-11,0.0,0.0,0.0,0.0,0.0,0.0
KOSI,5.563112412289883e-09,2.17217664990773e-09,5.772041527939213e-10,2.4018250584637853e-10,0.0,0.0,0.0,0.0
GED3,1.0995037125591291e-10,3.044237470053819e-11,0.0,0.0,0.0,0.0,0.0,0.0
VNDS,4.345443454712627e-09,1.2249403384642815e-09,3.676043436921872e-10,1.5091095354549366e-10,0.0,0.0,0.0,0.0
OFFI,1.4983366815361608e-08,4.4342035787948145e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRIMS,1.439988859631849e-09,5.44311832802858e-10,0.0,0.0,0.0,0.0,2.0365437532356756e-10,4.590163912509421e-10
ARVD,2.996497643040146e-09,8.22827482614384e-10,3.4816267878589404e-10,1.8990512462548727e-10,1.3404021595643942e-09,1.4208695554638492e-09,0.0,0.0
RSP,3.181812066437068e-09,1.1607594660584235e-09,0.0,0.0,1.8107467521778608e-10,2.430460893453771e-10,3.661305117267102e-10,8.286187178220056e-10
LLS,2.8763573284907156e-09,9.086723175833403e-10,0.0,0.0,0.0,0.0,2.518578905334426e-10,6.59985318311009e-10
RETA,6.032847736720463e-09,1.840522699091025e-09,5.508077125454371e-10,1.8901059259567675e-10,5.298312632466721e-10,6.819881682764498e-10,0.0,0.0
DAVA,7.454190173975887e-09,2.3459986416730275e-09,8.892262555886517e-10,2.64722499410799e-10,6.923177207004441e-10,9.050150144192983e-10,6.560968751005169e-10,2.564753321158713e-09
MOSI,1.2934992047888864e-08,4.033601077308574e-09,1.0996469719461272e-09,3.011516575841772e-10,2.255700164073818e-09,2.983691760931146e-09,0.0,0.0
DOBS,3.556157898984147e-09,1.1420573735190844e-09,4.0921601690343197e-10,1.1285060288675976e-10,4.6022961067790754e-10,5.641510450697768e-10,0.0,0.0
PE16,3.1928220486324756e-09,1.126110470457095e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY09B,4.530637709614888e-09,1.676443878068145e-09,0.0,0.0,0.0,0.0,0.0,0.0
ORT2,2.404757838904245e-09,7.705676436644545e-10,0.0,0.0,0.0,0.0,2.6285101892094054e-10,5.693061627384387e-10
GED6,1.4498935700370188e-10,3.599755934785916e-11,0.0,0.0,0.0,0.0,0.0,0.0
CERT,2.497497599143242e-09,8.434315832834142e-10,0.0,0.0,0.0,0.0,0.0,0.0
PY34B,5.2510609682528145e-09,1.68789757773159e-09,0.0,0.0,0.0,0.0,0.0,0.0
WET,8.634216370493347e-09,2.088869071037833e-09,0.0,0.0,0.0,0.0,0.0,0.0
MOCO,3.4838517754301797e-09,1.0469912050645567e-09,0.0,0.0,0.0,0.0,0.0,0.0
GBAS,3.6248355555018284e-09,9.079913961463758e-10,3.3930229244616955e-10,1.3270395053330594e-10,3.1188891367198357e-10,3.961836483684145e-10,0.0,0.0
LATE,2.2362652494101477e-09,9.096456068056619e-10,8.93950319440641e-10,5.145565270402367e-10,5.083161791885921e-10,6.354490528432458e-10,0.0,0.0
CAFR,2.0112495871245696e-08,7.296795036280119e-09,0.0,0.0,0.0,0.0,0.0,0.0
